"","X16.00"
"1",4.79583152331272
"2",6
"3",7.61577310586391
"4",5.3851648071345
"5",4.47213595499958
"6",3.16227766016838
"7",2.82842712474619
"8",1.73205080756888
"9",0
"10",0
"11",1.4142135623731
"12",3.3166247903554
"13",5.19615242270663
"14",6.85565460040104
"15",7.93725393319377
"16",7.74596669241483
"17",6.2449979983984
"18",5.29150262212918
"19",5.09901951359278
"20",4.69041575982343
"21",3.3166247903554
"22",4.58257569495584
"23",6.32455532033676
"24",8.83176086632785
"25",11.0453610171873
"26",10.1488915650922
"27",8.54400374531753
"28",6.85565460040104
"29",5.91607978309962
"30",3.3166247903554
"31",2.23606797749979
"32",4
"33",5.8309518948453
"34",8.36660026534076
"35",9
"36",10.5356537528527
"37",10.0498756211209
"38",8.54400374531753
"39",6.32455532033676
"40",4.47213595499958
"41",4
"42",2.23606797749979
"43",3.3166247903554
"44",4.69041575982343
"45",6.32455532033676
"46",7.74596669241483
"47",8.99444272870754
"48",9.1323600454647
"49",6.9065186599328
"50",6.91375440697744
"51",5.54075807087803
"52",3.4928498393146
"53",3.09838667696593
"54",3.19374388453426
"55",5.69209978830308
"56",6.89927532426414
"57",7.34846922834953
"58",7.93095202355934
"59",9.26822528858681
"60",7.82304288624318
"61",6.71565335615233
"62",6.03324125159934
"63",4.57165178026498
"64",3.37638860322683
"65",6.14817045957576
"66",8.35463942968217
"67",10.3004854254545
"68",10.0399203184089
"69",9.03327183250897
"70",8.15475321515004
"71",5.89915248150105
"72",5.53172667437573
"73",2.64575131106459
"74",4.4497190922574
"75",9.61769203083567
"76",12.4257796536073
"77",11.2205169221387
"78",9.20869154657707
"79",8.2522724143111
"80",6.20483682299543
"81",4.77493455452533
"82",3.19374388453426
"83",4.90917508345343
"84",9.10494371207203
"85",11.4891252930761
"86",11.4411537879709
"87",10.8673823895177
"88",9.48156105290685
"89",8.16088230524127
"90",7.74596669241483
"91",6.84835746730557
"92",6.40312423743285
"93",4.61519230368573
"94",4
"95",2.5298221281347
"96",2.02484567313166
"97",2.60768096208106
"98",3.80788655293195
"99",5.8309518948453
"100",6.70820393249937
"101",6.56505902486794
"102",6.89202437604511
"103",6.49615270756469
"104",5.30094331227943
"105",3.17804971641414
"106",2.84604989415154
"107",1.58113883008419
"108",0
"109",1.18321595661992
"110",2.23606797749979
"111",3.4928498393146
"112",3.72827037646145
"113",5.94978991225741
"114",6.76756972627545
"115",6.41092816992984
"116",5.48634668973808
"117",4.88876262463213
"118",3.9496835316263
"119",2.56904651573303
"120",2
"121",1.34164078649987
"122",2.91547594742265
"123",4.07430975749267
"124",6.02494813255683
"125",7.0427267446636
"126",8.01249024960405
"127",8.18535277187245
"128",8.42021377400835
"129",6.91375440697744
"130",5.24404424085076
"131",2.91547594742265
"132",3.63318042491699
"133",7.54320886625844
"134",11.0227038425243
"135",11.7601020403736
"136",10.1587400793602
"137",9.25742944882649
"138",8.03741251896405
"139",6.05805249234438
"140",4.91934955049954
"141",3.27108544675922
"142",3.87298334620742
"143",6.33245607959503
"144",7.84219357067906
"145",9.9247166206396
"146",11.1669154201149
"147",9.81325634027768
"148",8.16088230524127
"149",8.03118920210451
"150",7.35527021937332
"151",6.2449979983984
"152",4.53872228716409
"153",2.58843582110896
"154",2.07364413533277
"155",4.76445169982864
"156",7.4027022093287
"157",9.6850400102426
"158",9.78774744259372
"159",8.78635305459552
"160",7.68765243751303
"161",6.6332495807108
"162",6.85565460040104
"163",5.52268050859363
"164",4.03732584763727
"165",2.70185121722126
"166",6.13188388670236
"167",8.60232526704263
"168",11.7898261225516
"169",10.5451410611713
"170",10.0796825346833
"171",8.1363382427232
"172",6.68580586017871
"173",4.12310562561766
"174",3.36154726279432
"175",3.5213633723318
"176",1.84390889145858
"177",2.44948974278318
"178",5.68330889535313
"179",7.36885337077622
"180",7.72657750883274
"181",7.98122797569397
"182",7.96868872525461
"183",7.22495674727538
"184",5.03984126734166
"185",3.61939221417077
"186",2.60768096208106
"187",2.50998007960223
"188",2.66458251889485
"189",5.96657355607052
"190",8.54400374531753
"191",9.22496612459905
"192",8.83176086632785
"193",8
"194",6.46529195009785
"195",5.11859355682789
"196",5.16720427310553
"197",3.47850542618522
"198",3.08220700148449
"199",1.6431676725155
"200",2.23606797749979
"201",4.93963561409139
"202",6.48074069840786
"203",7.96868872525461
"204",7.3348483283569
"205",7.87400787401181
"206",6.96419413859206
"207",6.62570750939098
"208",4.31277173056957
"209",2.38746727726266
"210",1.89736659610103
"211",1.18321595661992
"212",3.09838667696593
"213",6.8847657912234
"214",7.55645419492503
"215",10.1931349446576
"216",8.97775027498538
"217",7.97496081495075
"218",6.13188388670236
"219",5.10881590977792
"220",3.76828873628335
"221",2.40831891575846
"222",4.08656334834051
"223",6.65582451691749
"224",7.99374755668454
"225",8.30662386291807
"226",8.82043082847998
"227",8.05605362444913
"228",5.97494769851586
"229",4.60434577328853
"230",3.33166624979154
"231",2.38746727726266
"232",2.94957624075052
"233",6.00832755431992
"234",8.92748564826626
"235",10.6957935656967
"236",10.4690018626419
"237",9.4233751915118
"238",8.23407554009556
"239",6.89202437604511
"240",5.53172667437573
"241",4.03732584763727
"242",3.09838667696593
"243",5.76194411635517
"244",9.62288937897553
"245",12.3125951772971
"246",11.674759098157
"247",11.6060329139633
"248",9.15969431804359
"249",8.33066623986341
"250",5.61248608016091
"251",3.72827037646145
"252",2.0976176963403
"253",6.16441400296898
"254",11.9037809119624
"255",13.7913016064474
"256",13.5941163743731
"257",12.6095202129185
"258",10.5971694333912
"259",7.34166193719106
"260",6.12372435695795
"261",5.2820450584977
"262",3.19374388453426
"263",3.88587184554509
"264",6.85565460040104
"265",9.6850400102426
"266",10.2907725657503
"267",10.2713192920871
"268",10.2225241501304
"269",8.16088230524127
"270",8.30060238777885
"271",6.16441400296898
"272",5.87367006223537
"273",3.93700393700591
"274",3.54964786985977
"275",5.24404424085076
"276",9.61769203083567
"277",12.4659536337979
"278",12.4378454725889
"279",11.8532695911297
"280",10.7656862298694
"281",8.16088230524127
"282",6.77495387438173
